央视频道,#genre#
CCTV1,http://124.93.18.239:9002/hls/1/index.m3u8
CCTV2,http://124.93.18.239:9002/hls/2/index.m3u8
CCTV3,http://124.93.18.239:9002/hls/3/index.m3u8
CCTV4,http://124.93.18.239:9002/hls/21/index.m3u8
CCTV4,http://124.93.18.239:9002/hls/4/index.m3u8
CCTV5,http://124.93.18.239:9002/hls/5/index.m3u8
CCTV5+,http://124.93.18.239:9002/hls/18/index.m3u8
CCTV6,http://124.93.18.239:9002/hls/6/index.m3u8
CCTV7,http://124.93.18.239:9002/hls/7/index.m3u8
CCTV8,http://124.93.18.239:9002/hls/8/index.m3u8
CCTV10,http://124.93.18.239:9002/hls/10/index.m3u8
CCTV12,http://124.93.18.239:9002/hls/12/index.m3u8
CCTV13,http://124.93.18.239:9002/hls/13/index.m3u8
CCTV14,http://124.93.18.239:9002/hls/14/index.m3u8
CCTV15,http://124.93.18.239:9002/hls/15/index.m3u8
CCTV16,http://124.93.18.239:9002/hls/16/index.m3u8
CCTV17,http://124.93.18.239:9002/hls/17/index.m3u8
CCTV美洲,http://124.93.18.239:9002/hls/22/index.m3u8
CCTV央视台球,http://124.93.18.239:9002/hls/20/index.m3u8

卫视频道,#genre#
云南卫视,http://124.93.18.239:9002/hls/45/index.m3u8
兵团卫视,http://124.93.18.239:9002/hls/58/index.m3u8
内蒙古卫视,http://124.93.18.239:9002/hls/47/index.m3u8
农林卫视,http://124.93.18.239:9002/hls/59/index.m3u8
北京卫视,http://124.93.18.239:9002/hls/23/index.m3u8
厦门卫视,http://124.93.18.239:9002/hls/55/index.m3u8
吉林卫视,http://124.93.18.239:9002/hls/49/index.m3u8
四川卫视,http://124.93.18.239:9002/hls/42/index.m3u8
天津卫视,http://124.93.18.239:9002/hls/24/index.m3u8
宁夏卫视,http://124.93.18.239:9002/hls/48/index.m3u8
山东卫视,http://124.93.18.239:9002/hls/34/index.m3u8
山西卫视,http://124.93.18.239:9002/hls/35/index.m3u8
广东卫视,http://124.93.18.239:9002/hls/36/index.m3u8
广西卫视,http://124.93.18.239:9002/hls/37/index.m3u8
延边卫视,http://124.93.18.239:9002/hls/60/index.m3u8
新疆卫视,http://124.93.18.239:9002/hls/50/index.m3u8
江苏卫视,http://124.93.18.239:9002/hls/30/index.m3u8
江西卫视,http://124.93.18.239:9002/hls/39/index.m3u8
河北卫视,http://124.93.18.239:9002/hls/40/index.m3u8
河南卫视,http://124.93.18.239:9002/hls/41/index.m3u8
浙江卫视,http://124.93.18.239:9002/hls/29/index.m3u8
海南卫视,http://124.93.18.239:9002/hls/43/index.m3u8
深圳卫视,http://124.93.18.239:9002/hls/54/index.m3u8
湖南卫视,http://124.93.18.239:9002/hls/32/index.m3u8
甘肃卫视,http://124.93.18.239:9002/hls/51/index.m3u8
西藏卫视,http://124.93.18.239:9002/hls/52/index.m3u8
西藏卫视（藏语）,http://124.93.18.239:9002/hls/61/index.m3u8
辽宁卫视,http://124.93.18.239:9002/hls/27/index.m3u8
陕西卫视,http://124.93.18.239:9002/hls/46/index.m3u8
青海卫视,http://124.93.18.239:9002/hls/44/index.m3u8
黑龙江卫视,http://124.93.18.239:9002/hls/53/index.m3u8

其他频道,#genre#
cctv11,http://124.93.18.239:9002/hls/11/index.m3u8
cctv9,http://124.93.18.239:9002/hls/9/index.m3u8
上海,http://124.93.18.239:9002/hls/25/index.m3u8
梨园,http://124.93.18.239:9002/hls/62/index.m3u8
法语,http://124.93.18.239:9002/hls/67/index.m3u8
英语,http://124.93.18.239:9002/hls/63/index.m3u8
西班牙语,http://124.93.18.239:9002/hls/65/index.m3u8
辽宁体育,http://124.93.18.239:9002/hls/56/index.m3u8
辽宁新闻,http://124.93.18.239:9002/hls/28/index.m3u8
辽宁经济,http://124.93.18.239:9002/hls/57/index.m3u8
阿拉伯语,http://124.93.18.239:9002/hls/66/index.m3u8
