更新时间: 2026-02-06 13:22:09（北京时间）

更新时间,#genre#
2026-02-06 13:22:09,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV1,http://180.105.184.135:4000/rtp/239.49.8.19:9614$江苏电信
CCTV1,http://171.124.111.237:8085/rtp/226.0.2.153:9136$山西联通
CCTV2,http://180.105.184.135:4000/rtp/239.49.8.50:9802$江苏电信
CCTV2,http://171.124.111.237:8085/rtp/226.0.2.154:9144$山西联通
CCTV3,http://180.105.184.135:4000/rtp/239.49.8.74:8000$江苏电信
CCTV3,http://171.124.111.237:8085/rtp/226.0.2.208:9576$山西联通
CCTV4,http://180.105.184.135:4000/rtp/239.49.8.51:9806$江苏电信
CCTV4,http://171.124.111.237:8085/rtp/226.0.2.156:9160$山西联通
CCTV5,http://180.105.184.135:4000/rtp/239.49.8.75:8000$江苏电信
CCTV5,http://171.124.111.237:8085/rtp/226.0.2.209:9584$山西联通
CCTV5+,http://180.105.184.135:4000/rtp/239.49.8.18:9610$江苏电信
CCTV5+,http://171.124.111.237:8085/rtp/226.0.2.168:9256$山西联通
CCTV6,http://180.105.184.135:4000/rtp/239.49.8.76:8000$江苏电信
CCTV6,http://171.124.111.237:8085/rtp/226.0.2.210:9592$山西联通
CCTV7,http://180.105.184.135:4000/rtp/239.49.0.126:8000$江苏电信
CCTV7,http://171.124.111.237:8085/rtp/226.0.2.159:9184$山西联通
CCTV8,http://180.105.184.135:4000/rtp/239.49.8.77:8000$江苏电信
CCTV8,http://171.124.111.237:8085/rtp/226.0.2.211:9600$山西联通
CCTV9,http://180.105.184.135:4000/rtp/239.49.8.53:9814$江苏电信
CCTV9,http://171.124.111.237:8085/rtp/226.0.2.161:9200$山西联通
CCTV10,http://180.105.184.135:4000/rtp/239.49.8.54:9818$江苏电信
CCTV10,http://171.124.111.237:8085/rtp/226.0.2.162:9208$山西联通
CCTV11,http://180.105.184.135:4000/rtp/239.49.0.127:8000$江苏电信
CCTV12,http://180.105.184.135:4000/rtp/239.49.8.55:9822$江苏电信
CCTV12,http://171.124.111.237:8085/rtp/226.0.2.164:9224$山西联通
CCTV13,http://180.105.184.135:4000/rtp/239.49.8.109:8000$江苏电信
CCTV13,http://171.124.111.237:8085/rtp/226.0.2.165:9232$山西联通
CCTV14,http://180.105.184.135:4000/rtp/239.49.8.56:9826$江苏电信
CCTV14,http://171.124.111.237:8085/rtp/226.0.2.166:9240$山西联通
CCTV15,http://180.105.184.135:4000/rtp/239.49.0.128:8000$江苏电信
CCTV16,http://180.105.184.135:4000/rtp/239.49.8.31:8000$江苏电信
CCTV16,http://171.124.111.237:8085/rtp/226.0.2.169:9264$山西联通
CCTV17,http://180.105.184.135:4000/rtp/239.49.8.52:9810$江苏电信
CCTV17,http://171.124.111.237:8085/rtp/226.0.2.170:9272$山西联通
CCTV4K,http://180.105.184.135:4000/rtp/239.49.0.82:8000$江苏电信
兵器科技,http://171.124.111.237:8085/rtp/226.0.2.223:9696$山西联通
风云音乐,http://171.124.111.237:8085/rtp/226.0.2.220:9672$山西联通
风云足球,http://171.124.111.237:8085/rtp/226.0.2.225:9712$山西联通
风云剧场,http://171.124.111.237:8085/rtp/226.0.2.227:9728$山西联通
怀旧剧场,http://171.124.111.237:8085/rtp/226.0.2.224:9704$山西联通
第一剧场,http://171.124.111.237:8085/rtp/226.0.2.221:9680$山西联通
女性时尚,http://171.124.111.237:8085/rtp/226.0.2.226:9720$山西联通
世界地理,http://171.124.111.237:8085/rtp/226.0.2.222:9688$山西联通
央视台球,http://171.124.111.237:8085/rtp/226.0.2.216:9640$山西联通
央视文化精品,http://171.124.111.237:8085/rtp/226.0.2.219:9664$山西联通
电视指南,http://171.124.111.237:8085/rtp/226.0.2.218:9656$山西联通
国学频道,http://171.124.111.237:8085/rtp/226.0.2.116:8840$山西联通
环球奇观,http://171.124.111.237:8085/rtp/226.0.2.111:8800$山西联通

卫视频道,#genre#
湖南卫视,http://180.105.184.135:4000/rtp/239.49.8.12:9418$江苏电信
湖南卫视,http://171.124.111.237:8085/rtp/226.0.2.143:9056$山西联通
浙江卫视,http://180.105.184.135:4000/rtp/239.49.8.20:9618$江苏电信
浙江卫视,http://171.124.111.237:8085/rtp/226.0.2.144:9064$山西联通
江苏卫视,http://180.105.184.135:4000/rtp/239.49.8.16:9602$江苏电信
江苏卫视,http://171.124.111.237:8085/rtp/226.0.2.176:9320$山西联通
东方卫视,http://180.105.184.135:4000/rtp/239.49.8.17:9606$江苏电信
东方卫视,http://171.124.111.237:8085/rtp/226.0.2.175:9312$山西联通
深圳卫视,http://180.105.184.135:4000/rtp/239.49.8.15:9430$江苏电信
深圳卫视,http://171.124.111.237:8085/rtp/226.0.2.147:9088$山西联通
北京卫视,http://180.105.184.135:4000/rtp/239.49.8.11:9414$江苏电信
北京卫视,http://171.124.111.237:8085/rtp/226.0.2.177:9328$山西联通
广东卫视,http://180.105.184.135:4000/rtp/239.49.8.13:9422$江苏电信
广东卫视,http://171.124.111.237:8085/rtp/226.0.2.146:9080$山西联通
广西卫视,http://180.105.184.135:4000/rtp/239.49.8.10:8000$江苏电信
广西卫视,http://171.124.111.237:8085/rtp/226.0.2.231:9760$山西联通
东南卫视,http://180.105.184.135:4000/rtp/239.49.8.112:8000$江苏电信
东南卫视,http://171.124.111.237:8085/rtp/226.0.2.188:9416$山西联通
海南卫视,http://180.105.184.135:4000/rtp/239.49.8.83:8000$江苏电信
海南卫视,http://171.124.111.237:8085/rtp/226.0.2.212:9608$山西联通
河北卫视,http://180.105.184.135:4000/rtp/239.49.8.114:8000$江苏电信
河北卫视,http://171.124.111.237:8085/rtp/226.0.2.178:9336$山西联通
河南卫视,http://180.105.184.135:4000/rtp/239.49.8.29:8000$江苏电信
河南卫视,http://171.124.111.237:8085/rtp/226.0.2.195:9472$山西联通
湖北卫视,http://180.105.184.135:4000/rtp/239.49.8.8:9632$江苏电信
湖北卫视,http://171.124.111.237:8085/rtp/226.0.2.150:9112$山西联通
江西卫视,http://180.105.184.135:4000/rtp/239.49.8.111:8000$江苏电信
江西卫视,http://171.124.111.237:8085/rtp/226.0.2.198:9496$山西联通
四川卫视,http://180.105.184.135:4000/rtp/239.49.8.110:8000$江苏电信
四川卫视,http://171.124.111.237:8085/rtp/226.0.2.179:9344$山西联通
重庆卫视,http://180.105.184.135:4000/rtp/239.49.8.57:9830$江苏电信
重庆卫视,http://171.124.111.237:8085/rtp/226.0.2.174:9304$山西联通
贵州卫视,http://180.105.184.135:4000/rtp/239.49.8.49:8000$江苏电信
贵州卫视,http://171.124.111.237:8085/rtp/226.0.2.180:9352$山西联通
云南卫视,http://180.105.184.135:4000/rtp/239.49.0.177:8000$江苏电信
天津卫视,http://180.105.184.135:4000/rtp/239.49.8.35:8620$江苏电信
天津卫视,http://171.124.111.237:8085/rtp/226.0.2.148:9096$山西联通
安徽卫视,http://180.105.184.135:4000/rtp/239.49.8.80:8000$江苏电信
安徽卫视,http://171.124.111.237:8085/rtp/226.0.2.145:9072$山西联通
山东卫视,http://180.105.184.135:4000/rtp/239.49.8.7:9306$江苏电信
山东卫视,http://171.124.111.237:8085/rtp/226.0.2.149:9104$山西联通
辽宁卫视,http://180.105.184.135:4000/rtp/239.49.8.48:8000$江苏电信
辽宁卫视,http://171.124.111.237:8085/rtp/226.0.2.173:9296$山西联通
黑龙江卫视,http://180.105.184.135:4000/rtp/239.49.8.14:9426$江苏电信
黑龙江卫视,http://171.124.111.237:8085/rtp/226.0.2.151:9120$山西联通
吉林卫视,http://180.105.184.135:4000/rtp/239.49.8.113:8000$江苏电信
吉林卫视,http://171.124.111.237:8085/rtp/226.0.2.199:9504$山西联通
山西卫视,http://171.124.111.237:8085/rtp/226.0.2.11:8000$山西联通
山西卫视,http://171.124.111.237:8085/rtp/226.0.2.152:9128$山西联通
新疆卫视,http://171.124.111.237:8085/rtp/226.0.2.67:8448$山西联通
西藏卫视,http://171.124.111.237:8085/rtp/226.0.2.66:8440$山西联通
三沙卫视,http://180.105.184.135:4000/rtp/239.49.0.167:8000$江苏电信
山东教育卫视,http://180.105.184.135:4000/rtp/239.49.0.235:8000$江苏电信
山东教育卫视,http://171.124.111.237:8085/rtp/226.0.2.130:8952$山西联通
中国教育1台,http://180.105.184.135:4000/rtp/239.49.8.115:8000$江苏电信
中国教育1台,http://171.124.111.237:8085/rtp/226.0.2.68:8456$山西联通
中国教育1台,http://171.124.111.237:8085/rtp/226.0.2.181:9360$山西联通
中国教育2台,http://171.124.111.237:8085/rtp/226.0.2.69:8464$山西联通
中国教育4台,http://180.105.184.135:4000/rtp/239.49.0.125:8000$江苏电信
中国教育4台,http://171.124.111.237:8085/rtp/226.0.2.70:8472$山西联通
早期教育,http://171.124.111.237:8085/rtp/226.0.2.99:8704$山西联通

数字频道,#genre#
CHC动作电影,http://171.124.111.237:8085/rtp/226.0.2.94:8012$山西联通
CHC家庭影院,http://171.124.111.237:8085/rtp/226.0.2.240:9820$山西联通
CHC影迷电影,http://171.124.111.237:8085/rtp/226.0.2.93:8004$山西联通
金鹰纪实,http://180.105.184.135:4000/rtp/239.49.8.79:8000$江苏电信
金鹰纪实,http://171.124.111.237:8085/rtp/226.0.2.194:9464$山西联通
睛彩青少,http://180.105.184.135:4000/rtp/239.49.8.46:8000$江苏电信
睛彩竞技,http://180.105.184.135:4000/rtp/239.49.8.39:8000$江苏电信
睛彩篮球,http://180.105.184.135:4000/rtp/239.49.8.42:8000$江苏电信
睛彩广场舞,http://180.105.184.135:4000/rtp/239.49.8.64:8000$江苏电信
魅力足球,http://180.105.184.135:4000/rtp/239.49.1.179:6000$江苏电信
快乐垂钓,http://180.105.184.135:4000/rtp/239.49.0.114:8000$江苏电信
快乐垂钓,http://171.124.111.237:8085/rtp/226.0.2.214:9624$山西联通
茶频道,http://180.105.184.135:4000/rtp/239.49.0.146:8000$江苏电信
茶频道,http://171.124.111.237:8085/rtp/226.0.2.213:9616$山西联通
先锋乒羽,http://171.124.111.237:8085/rtp/226.0.2.121:8880$山西联通
汽摩,http://171.124.111.237:8085/rtp/226.0.2.95:8672$山西联通
梨园频道,http://180.105.184.135:4000/rtp/239.49.8.193:8000$江苏电信
梨园频道,http://171.124.111.237:8085/rtp/226.0.2.115:8832$山西联通
文物宝库,http://180.105.184.135:4000/rtp/239.49.0.209:8000$江苏电信
文物宝库,http://171.124.111.237:8085/rtp/226.0.2.110:8792$山西联通
武术世界,http://180.105.184.135:4000/rtp/239.49.0.205:8000$江苏电信
武术世界,http://171.124.111.237:8085/rtp/226.0.2.97:8688$山西联通
乐游,http://180.105.184.135:4000/rtp/239.49.1.173:6000$江苏电信
乐游,http://171.124.111.237:8085/rtp/226.0.2.77:8528$山西联通
生活时尚,http://180.105.184.135:4000/rtp/239.49.1.181:6000$江苏电信
