更新时间: 2026-02-06 20:40:11（北京时间）

更新时间,#genre#
2026-02-06 20:40:11,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV1,http://125.109.50.223:10000/udp/233.50.201.99:5140?$浙江电信$浙江电信
CCTV1,http://125.109.50.223:10000/udp/233.50.201.118:5140?$浙江电信$浙江电信
CCTV1,http://171.83.50.254:1234/udp/239.254.96.96:8550?$湖北电信$湖北电信
CCTV1,http://171.83.50.254:1234/rtp/239.254.96.96:8550?$湖北电信$湖北电信
CCTV1,http://183.188.229.100:6000/udp/226.0.2.18:8056?$山西联通$山西联通
CCTV1,http://183.188.229.100:6000/rtp/226.0.2.153:9136?$山西联通$山西联通
CCTV1,http://171.83.96.76:8005/udp/239.254.96.96:8550?$湖北电信$湖北电信
CCTV1,http://171.83.96.76:8005/rtp/239.254.96.96:8550?$湖北电信$湖北电信
CCTV1,http://117.82.88.141:5555/udp/239.49.1.1:6000?$江苏电信$江苏电信
CCTV1,http://139.189.80.48:4022/udp/239.253.64.120:5140?$海南电信$海南电信
CCTV1,http://139.189.80.48:4022/udp/239.253.64.12:5140?$海南电信$海南电信
CCTV1,http://139.189.80.48:4022/rtp/239.253.64.120:5140?$海南电信$海南电信
CCTV1,http://180.105.184.135:4000/udp/239.49.1.1:6000?$江苏电信$江苏电信
CCTV2,http://125.109.50.223:10000/udp/233.50.201.2:5140?$浙江电信$浙江电信
CCTV2,http://171.83.50.254:1234/udp/239.69.1.102:10250?$湖北电信$湖北电信
CCTV2,http://171.83.50.254:1234/rtp/239.69.1.102:10250?$湖北电信$湖北电信
CCTV2,http://183.188.229.100:6000/udp/226.0.2.19:8064?$山西联通$山西联通
CCTV2,http://183.188.229.100:6000/rtp/226.0.2.154:9144?$山西联通$山西联通
CCTV2,http://171.83.96.76:8005/udp/239.69.1.102:10250?$湖北电信$湖北电信
CCTV2,http://171.83.96.76:8005/rtp/239.69.1.102:10250?$湖北电信$湖北电信
CCTV2,http://117.82.88.141:5555/udp/239.49.1.2:6000?$江苏电信$江苏电信
CCTV2,http://139.189.80.48:4022/udp/239.253.64.195:5140?$海南电信$海南电信
CCTV2,http://139.189.80.48:4022/udp/239.253.64.13:5140?$海南电信$海南电信
CCTV2,http://139.189.80.48:4022/rtp/239.253.64.195:5140?$海南电信$海南电信
CCTV2,http://180.105.184.135:4000/udp/239.49.1.2:6000?$江苏电信$江苏电信
CCTV3,http://125.109.50.223:10000/udp/233.50.201.16:5140?$浙江电信$浙江电信
CCTV3,http://171.83.50.254:1234/udp/239.69.1.122:10370?$湖北电信$湖北电信
CCTV3,http://171.83.50.254:1234/rtp/239.69.1.122:10370?$湖北电信$湖北电信
CCTV3,http://183.188.229.100:6000/udp/226.0.2.20:8072?$山西联通$山西联通
CCTV3,http://183.188.229.100:6000/rtp/226.0.2.208:9576?$山西联通$山西联通
CCTV3,http://171.83.96.76:8005/udp/239.69.1.122:10370?$湖北电信$湖北电信
CCTV3,http://171.83.96.76:8005/rtp/239.69.1.122:10370?$湖北电信$湖北电信
CCTV3,http://117.82.88.141:5555/udp/239.49.1.3:6000?$江苏电信$江苏电信
CCTV3,http://139.189.80.48:4022/udp/239.253.64.244:5140?$海南电信$海南电信
CCTV3,http://139.189.80.48:4022/rtp/239.253.64.244:5140?$海南电信$海南电信
CCTV3,http://180.105.184.135:4000/udp/239.49.1.3:6000?$江苏电信$江苏电信
CCTV4,http://125.109.50.223:10000/udp/233.50.201.4:5140?$浙江电信$浙江电信
CCTV4,http://171.83.50.254:1234/udp/239.69.1.138:10466?$湖北电信$湖北电信
CCTV4,http://171.83.50.254:1234/rtp/239.69.1.138:10466?$湖北电信$湖北电信
CCTV4,http://183.188.229.100:6000/udp/226.0.2.21:8080?$山西联通$山西联通
CCTV4,http://183.188.229.100:6000/rtp/226.0.2.156:9160?$山西联通$山西联通
CCTV4,http://171.83.96.76:8005/udp/239.69.1.138:10466?$湖北电信$湖北电信
CCTV4,http://171.83.96.76:8005/rtp/239.69.1.138:10466?$湖北电信$湖北电信
CCTV4,http://117.82.88.141:5555/udp/239.49.1.4:6000?$江苏电信$江苏电信
CCTV4,http://139.189.80.48:4022/udp/239.253.64.196:5140?$海南电信$海南电信
CCTV4,http://139.189.80.48:4022/udp/239.253.64.15:5140?$海南电信$海南电信
CCTV4,http://139.189.80.48:4022/rtp/239.253.64.196:5140?$海南电信$海南电信
CCTV4,http://180.105.184.135:4000/udp/239.49.1.4:6000?$江苏电信$江苏电信
CCTV4欧洲,http://171.83.50.254:1234/rtp/239.69.1.231:11028?$湖北电信$湖北电信
CCTV4欧洲,http://171.83.96.76:8005/rtp/239.69.1.231:11028?$湖北电信$湖北电信
CCTV4美洲,http://171.83.50.254:1234/rtp/239.69.1.232:11034?$湖北电信$湖北电信
CCTV4美洲,http://171.83.96.76:8005/rtp/239.69.1.232:11034?$湖北电信$湖北电信
CCTV5,http://125.109.50.223:10000/udp/233.50.201.17:5140?$浙江电信$浙江电信
CCTV5,http://171.83.50.254:1234/udp/239.69.1.123:10376?$湖北电信$湖北电信
CCTV5,http://171.83.50.254:1234/rtp/239.69.1.123:10376?$湖北电信$湖北电信
CCTV5,http://183.188.229.100:6000/udp/226.0.2.22:8088?$山西联通$山西联通
CCTV5,http://183.188.229.100:6000/rtp/226.0.2.209:9584?$山西联通$山西联通
CCTV5,http://171.83.96.76:8005/udp/239.69.1.123:10376?$湖北电信$湖北电信
CCTV5,http://171.83.96.76:8005/rtp/239.69.1.123:10376?$湖北电信$湖北电信
CCTV5,http://117.82.88.141:5555/udp/239.49.1.5:6000?$江苏电信$江苏电信
CCTV5,http://139.189.80.48:4022/udp/239.253.64.245:5140?$海南电信$海南电信
CCTV5,http://139.189.80.48:4022/rtp/239.253.64.245:5140?$海南电信$海南电信
CCTV5,http://180.105.184.135:4000/udp/239.49.1.5:6000?$江苏电信$江苏电信
CCTV5+,http://171.83.50.254:1234/udp/239.69.1.12:9712?$湖北电信$湖北电信
CCTV5+,http://171.83.50.254:1234/rtp/239.254.96.234:9484?$湖北电信$湖北电信
CCTV5+,http://183.188.229.100:6000/rtp/226.0.2.168:9256?$山西联通$山西联通
CCTV5+,http://171.83.96.76:8005/udp/239.69.1.12:9712?$湖北电信$湖北电信
CCTV5+,http://171.83.96.76:8005/rtp/239.254.96.234:9484?$湖北电信$湖北电信
CCTV5+,http://139.189.80.48:4022/udp/239.253.64.100:5140?$海南电信$海南电信
CCTV5+,http://139.189.80.48:4022/rtp/239.253.64.100:5140?$海南电信$海南电信
CCTV6,http://125.109.50.223:10000/udp/233.50.201.18:5140?$浙江电信$浙江电信
CCTV6,http://171.83.50.254:1234/udp/239.69.1.124:10382?$湖北电信$湖北电信
CCTV6,http://171.83.50.254:1234/rtp/239.69.1.124:10382?$湖北电信$湖北电信
CCTV6,http://183.188.229.100:6000/udp/226.0.2.23:8096?$山西联通$山西联通
CCTV6,http://183.188.229.100:6000/rtp/226.0.2.210:9592?$山西联通$山西联通
CCTV6,http://171.83.96.76:8005/udp/239.69.1.124:10382?$湖北电信$湖北电信
CCTV6,http://171.83.96.76:8005/rtp/239.69.1.124:10382?$湖北电信$湖北电信
CCTV6,http://117.82.88.141:5555/udp/239.49.1.6:6000?$江苏电信$江苏电信
CCTV6,http://139.189.80.48:4022/udp/239.253.64.246:5140?$海南电信$海南电信
CCTV6,http://139.189.80.48:4022/rtp/239.253.64.246:5140?$海南电信$海南电信
CCTV6,http://180.105.184.135:4000/udp/239.49.1.6:6000?$江苏电信$江苏电信
CCTV7,http://125.109.50.223:10000/udp/233.50.201.7:5140?$浙江电信$浙江电信
CCTV7,http://171.83.50.254:1234/udp/239.69.1.103:10256?$湖北电信$湖北电信
CCTV7,http://171.83.50.254:1234/rtp/239.69.1.103:10256?$湖北电信$湖北电信
CCTV7,http://183.188.229.100:6000/udp/226.0.2.24:8104?$山西联通$山西联通
CCTV7,http://183.188.229.100:6000/rtp/226.0.2.159:9184?$山西联通$山西联通
CCTV7,http://171.83.96.76:8005/udp/239.69.1.103:10256?$湖北电信$湖北电信
CCTV7,http://171.83.96.76:8005/rtp/239.69.1.103:10256?$湖北电信$湖北电信
CCTV7,http://117.82.88.141:5555/udp/239.49.1.254:6000?$江苏电信$江苏电信
CCTV7,http://139.189.80.48:4022/udp/239.253.64.54:5140?$海南电信$海南电信
CCTV7,http://139.189.80.48:4022/udp/239.253.64.16:5140?$海南电信$海南电信
CCTV7,http://139.189.80.48:4022/rtp/239.253.64.54:5140?$海南电信$海南电信
CCTV7,http://180.105.184.135:4000/udp/239.49.1.254:6000?$江苏电信$江苏电信
CCTV8,http://125.109.50.223:10000/udp/233.50.201.19:5140?$浙江电信$浙江电信
CCTV8,http://171.83.50.254:1234/udp/239.69.1.125:10388?$湖北电信$湖北电信
